k,oracle_wr,oracle_r1,oracle_rl,gap_vs_current,relative_gain_pct
0,0.3083937790145238,0.44591944858350974,0.3875772514557438,0.0,0.0
1,0.3498791572956941,0.5031370832679608,0.44248226077445557,0.04148537828117027,13.452080133956438
5,0.4351783699468278,0.618512476274337,0.5576452803387111,0.126784590932304,41.11126733407066
10,0.4559882460733052,0.6461440012783328,0.5862566637846541,0.14759446705878138,47.859093503903146
20,0.4705686062655412,0.665499058657009,0.606307985303913,0.1621748272510174,52.58693212594919
50,0.4851849010190881,0.6847974554509195,0.6265130878439132,0.17679112200456432,57.32642291602074
