k,oracle_wr,oracle_wr_ce,gap_vs_selected,hit_rate_thr_30,hit_rate_thr_40,hit_rate_thr_50,selected_wr_global
1,0.3218070285983422,0.26750129691495156,-0.05381893962505574,0.33996410409811545,0.30376906969787615,0.28806461262339217,0.37562596822339794
5,0.4325798019077512,0.3488409964122262,0.05695383368435325,0.489530361950344,0.452886628776548,0.44062219563266525,0.37562596822339794
10,0.45740784053775957,0.3965979697851127,0.08178187231436163,0.5270714926712534,0.4865390367932994,0.4753215674543823,0.37562596822339794
20,0.472821964597627,0.44266689215975996,0.09719599637422904,0.5532455877953933,0.505833084056237,0.4941669159437631,0.37562596822339794
50,0.4844096516488412,0.4818460679650717,0.10878368342544326,0.5725396350583308,0.5213879748728687,0.5089739754711338,0.37562596822339794
