subset,source,experiment,wr_best,wr_stage5,delta
Aka_Gha,stage5_routed,stage5_routed,0.1851948537568285,0.1851948537568285,0.0
Amh_Eth,stage5_routed,stage5_routed,0.12812564871869392,0.12812564871869392,0.0
Eng_Eth,stage7,7_safe,0.47551526365413554,0.46865168817815844,0.006863575475977102
Eng_Gha,stage5_routed,stage5_routed,0.18937402956901656,0.18937402956901656,0.0
Eng_Ken,stage5_routed,stage5_routed,0.5744413864309521,0.5744413864309521,0.0
Eng_Uga,stage5_routed,stage5_routed,0.5901428149083638,0.5901428149083638,0.0
Lug_Uga,stage5_routed,stage5_routed,0.36566766737482503,0.36566766737482503,0.0
Swa_Ken,stage5_routed,stage5_routed,0.4691072723925239,0.4691072723925239,0.0
