subset,n,A_solved_count,A_solved_pct,A_near_solved_count,A_near_solved_pct,B_reranking_failure_count,B_reranking_failure_pct,C_recall_failure_count,C_recall_failure_pct,D_weak_pool_count,D_weak_pool_pct,E_ambiguous_medium_count,E_ambiguous_medium_pct
Aka_Gha,1114,2,0.17953321364452424,3,0.26929982046678635,8,0.718132854578097,985,88.42010771992818,112,10.053859964093357,4,0.3590664272890485
Amh_Eth,462,21,4.545454545454546,19,4.112554112554113,9,1.948051948051948,366,79.22077922077922,43,9.307359307359308,4,0.8658008658008658
Eng_Eth,564,305,54.07801418439716,30,5.319148936170213,29,5.141843971631205,124,21.98581560283688,65,11.52482269503546,11,1.950354609929078
Eng_Gha,1104,19,1.7210144927536233,6,0.5434782608695652,8,0.7246376811594203,975,88.31521739130434,94,8.514492753623188,2,0.18115942028985507
Eng_Ken,390,278,71.28205128205128,2,0.5128205128205128,61,15.64102564102564,41,10.512820512820513,6,1.5384615384615385,2,0.5128205128205128
Eng_Uga,1688,1268,75.11848341232228,13,0.7701421800947867,217,12.855450236966824,136,8.056872037914692,18,1.066350710900474,36,2.132701421800948
Lug_Uga,846,352,41.607565011820334,0,0.0,292,34.515366430260045,172,20.33096926713948,10,1.1820330969267139,20,2.3640661938534278
Swa_Ken,518,276,53.28185328185328,0,0.0,138,26.64092664092664,59,11.38996138996139,16,3.088803088803089,29,5.598455598455598
ALL,6686,2521,37.70565360454681,73,1.0918336823212684,762,11.396948848339814,2858,42.746036494166916,364,5.4442117858211185,108,1.6153155848040681
