subset,source,experiment,wr_best,wr_stage5,delta
Aka_Gha,stage6,6A_LGB_rl_heavy,0.18834971261452987,0.1851948537568285,0.0031548588577013648
Amh_Eth,stage5_routed,stage5_routed,0.12812564871869392,0.12812564871869392,0.0
Eng_Eth,stage5_routed,stage5_routed,0.46865168817815844,0.46865168817815844,0.0
Eng_Gha,stage5_routed,stage5_routed,0.18937402956901656,0.18937402956901656,0.0
Eng_Ken,stage6,6A_LGB_rl_heavy,0.5841311167769876,0.5744413864309521,0.009689730346035486
Eng_Uga,stage5_routed,stage5_routed,0.5901428149083638,0.5901428149083638,0.0
Lug_Uga,stage5_routed,stage5_routed,0.36566766737482503,0.36566766737482503,0.0
Swa_Ken,stage6,6A_LGB_rl_heavy,0.49742997127746,0.4691072723925239,0.028322698884936104
